Trades,Header,Platform,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Term
Trades,Data,IBKR,Order,Stocks,USD,ADBE,"2023-06-13, 09:47:45",4,477.61,478.99,-1910.44,-1,1911.44,0,5.52,O;P,
Trades,Data,IBKR,Order,Stocks,USD,AVGO,"2023-06-15, 09:57:29",2,878.79,883.43,-1757.58,-1,1758.58,0,9.28,O,
Trades,Data,IBKR,Order,Stocks,USD,IUIT,"2023-09-28, 03:00:05",227,20.9,21.01,-4744.3,-4,4748.3,0,24.97,O,
Trades,Data,IBKR,Order,Stocks,USD,QQQ,"2023-05-09, 09:30:02",5,321.98,321.64,-1609.9,-1,1610.9,0,-1.7,O,
Trades,Data,IBKR,Order,Stocks,USD,QQQ,"2023-06-01, 12:28:39",7,351.58,352.01,-2461.06,-1,2462.06,0,3.01,O,
Trades,Data,IBKR,Order,Stocks,USD,QQQ,"2023-06-09, 12:33:47",3,353.78,354.5,-1061.34,-1,1062.34,0,2.16,O,
Trades,Data,IBKR,Order,Stocks,USD,QQQ,"2023-06-16, 10:13:00",4,370.7873,367.93,-1483.1492,-1,1484.1492,0,-11.4292,O,
Trades,Data,IBKR,Order,Stocks,USD,QQQ,"2023-06-26, 10:30:30",6,364.13,357.68,-2184.78,-1,2185.78,0,-38.7,O,
Trades,Data,IBKR,Order,Stocks,USD,RSP,"2023-04-25, 13:49:53",15,142.975,142.72,-2144.625,-1,2145.625,0,-3.825,O,
Trades,Data,IBKR,Order,Stocks,USD,RSP,"2023-05-25, 12:17:53",-15,139.582,139.92,2093.73,-1.01892484,-2145.625,-52.913925,-5.07,C,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,"2023-02-03, 13:09:39",42,48.585,48.5,-2040.57,-1,2041.57,0,-3.57,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,"2023-02-07, 09:30:00",62,48.09,48.84,-2981.58,-1,2982.58,0,46.5,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,"2023-02-15, 09:30:00",41,48.26,48.69,-1978.66,-1,1979.66,0,17.63,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,"2023-04-18, 10:04:26",41,48.67,48.7,-1995.47,-1,1996.47,0,1.23,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,"2023-05-02, 09:30:00",41,48.75,48.31,-1998.75,-1,1999.75,0,-18.04,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,"2023-06-09, 12:34:09",10,50.4993,50.54,-504.993,-1,505.993,0,0.407,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,"2023-06-16, 10:25:29",40,52.17,51.88,-2086.8,-1,2087.8,0,-11.6,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,"2023-06-20, 10:50:01",140,51.25,51.41,-7175,-1,7176,0,22.4,O,
Trades,Data,IBKR,Order,Stocks,USD,SPYG,"2023-05-09, 09:30:00",10,55.9,55.83,-559,-1,560,0,-0.7,O,
Trades,Data,IBKR,Order,Stocks,USD,SPYG,"2023-05-17, 13:13:36",8,56.5773,56.66,-452.6184,-1,453.6184,0,0.6616,O,
Trades,Data,IBKR,Order,Stocks,USD,SPYG,"2023-05-18, 10:34:57",7,56.97,57.25,-398.79,-1,399.79,0,1.96,O,
Trades,Data,IBKR,Order,Stocks,USD,SPYG,"2023-05-26, 12:25:30",18,57.81,57.87,-1040.58,-1,1041.58,0,1.08,O,
Trades,Data,IBKR,Order,Stocks,USD,TSLA,"2023-06-13, 09:59:22",2,253.31,258.71,-506.62,-1,507.62,0,10.8,O,
Trades,Data,IBKR,Order,Stocks,USD,TSLA,"2023-06-16, 11:07:59",2,260.28,260.54,-520.56,-1,521.56,0,0.52,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,"2023-05-17, 13:13:40",1,393.3073,394.23,-393.3073,-1,394.3073,0,0.9227,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,"2023-05-18, 10:29:15",3,398.55,401.97,-1195.65,-1,1196.65,0,10.26,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,"2023-05-25, 12:22:16",5,406.99,407.71,-2034.95,-1,2035.95,0,3.6,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,"2023-05-31, 09:30:00",3,418.16,416.88,-1254.48,-1,1255.48,0,-3.84,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,"2023-06-13, 09:44:50",4,434.4502,434.09,-1737.8008,-1,1738.8008,0,-1.4408,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,"2023-06-16, 10:41:04",4,443,439.56,-1772,-1,1773,0,-13.76,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,"2023-06-20, 13:23:29",6,438.043333333,437,-2628.26,-1,2629.26,0,-6.26,O;P,
Trades,Data,IBKR,Order,Stocks,USD,VGT,"2023-07-20, 13:42:53",4,451.61,448.67,-1806.44,-1,1807.44,0,-11.76,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,"2023-02-03, 13:09:56",5,379.53,378.85,-1897.65,-1,1898.65,0,-3.4,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,"2023-02-07, 09:30:00",8,375.79,381.52,-3006.32,-1,3007.32,0,45.84,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,"2023-02-15, 09:30:00",5,377.15,380.48,-1885.75,-1,1886.75,0,16.65,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,"2023-04-18, 10:04:26",5,380.22,380.54,-1901.1,-1,1902.1,0,1.6,O,
